"","response_var","TCG_15_T1","mndwi_15_T2","ndvi_15_T3","swir1_15_T3"
"372",1,1055.52405,-0.5683391,0.431924883,429.5
"373",0,2239.2679,-0.769890977,0.611770607,1552.5
"374",0,2099.9818,-0.708874697,0.571801567,2133.5
"375",0,1631.09385,-0.629898403,0.570726916,1979
"376",0,22.60025,-0.112716763,0.45375091,226.5
"377",0,38.33275,-0.128205128,0.443056051,232.5
"378",1,923.1154,-0.654541074,0.394064872,974
"379",1,1269.4486,-0.68444281,0.412685983,1563
"380",1,1239.9482,-0.678136201,0.425135764,1477
"381",1,1463.2195,-0.702950153,0.489449731,1364
"382",1,938.26995,-0.487291849,0.321302472,466.5
"383",1,822.9415,-0.54518664,0.371314343,533.5
"384",1,1347.76775,-0.601604278,0.483301527,819.5
"385",1,1126.1279,-0.621621622,0.48494826,720.5
"386",0,883.47045,-0.423828648,0.338943017,1922.5
"387",0,1161.9089,-0.425613324,0.34986981,2118.5
"388",1,1562.369,-0.580808081,0.521572171,813.5
"389",1,1535.9024,-0.639419404,0.483318305,1055.5
"390",1,609.01785,-0.466524973,0.358914122,452.5
"391",1,939.18715,-0.523944661,0.366239638,488.5
"392",1,591.30795,-0.419924338,0.350905218,400
"393",0,1634.14985,-0.652653705,0.560569047,1887.5
"394",1,1209.57425,-0.546836338,0.535280604,526
"395",0,1174.46375,-0.459318827,0.32475799,2260.5
"396",0,2009.2097,-0.679835813,0.497951583,2000
"397",0,1972.05045,-0.771653543,0.521336481,1416.5
"398",0,2193.609,-0.701966717,0.478136882,2080
"399",0,1104.8399,-0.511242896,0.418909398,2110.5
"400",0,1921.2929,-0.721781305,0.312676056,3133.5
"401",0,2333.33435,-0.774269255,0.385853659,2764.5
"402",0,2118.00255,-0.75279392,0.408970276,2415
"403",0,1758.1619,-0.723157146,0.472745626,2132.5
"404",0,2725.6522,-0.742362327,0.474578486,2743.5
"405",0,2316.8004,-0.73468543,0.465504928,2379
"406",0,2259.88945,-0.731230032,0.411208988,2695
"407",0,2137.5336,-0.749608764,0.355334918,2479
"408",0,2267.36515,-0.820998279,0.583705741,1602
"409",0,2284.462,-0.757470767,0.592556041,2166.5
"410",0,2154.92055,-0.808437251,0.515916955,1572.5
"411",0,1501.2868,-0.593264815,0.389808248,2596.5
"412",0,1767.14225,-0.614272809,0.616054614,2474
"413",1,1561.50345,-0.658703072,0.454892966,623.5
"414",1,1508.21715,-0.674098361,0.48098434,237.5
"415",1,1299.6963,-0.640714014,0.443716498,249.5
"416",1,1981.19345,-0.680504467,0.602558246,361.5
"417",1,1803.3231,-0.673391494,0.5666837,371.5
"418",1,2139.1774,-0.731854353,0.47631289,2256.5
"419",1,1052.22755,-0.596919127,0.329372624,1739
"420",1,552.215,-0.357330992,0.192365645,512
"421",1,498.7217,-0.313543599,0.1821046,467
"422",1,1282.05865,-0.647326507,0.412394797,1462.5
"423",1,946.17565,-0.600967352,0.582141309,446
"424",1,1128.07885,-0.619810634,0.620281273,527
"425",1,918.0766,-0.594242015,0.525633803,327
"426",1,1053.15135,-0.655393378,0.421752102,1116.5
"427",1,1793.0235,-0.607132906,0.496354459,308
"428",1,1168.344,-0.596638655,0.602272727,500.5
"429",1,1019.98995,-0.595959596,0.437540038,281.5
"430",1,1587.52665,-0.519262586,0.598815066,429.5
"431",1,1428.36685,-0.691275168,0.337879144,1471.5
"432",1,1268.1456,-0.658092848,0.374845869,305
"433",1,1545.32465,-0.692162417,0.427990856,1420
"434",1,1889.71115,-0.647151899,0.52586697,340
"435",1,1380.53425,-0.601059135,0.429517502,499.5
"436",1,1325.71415,-0.634909091,0.509974425,388
"437",1,1587.34095,-0.698994486,0.509513742,744
"438",1,1313.2344,-0.622281572,0.535127055,233
"439",1,2182.10795,-0.76827957,0.573252688,1827
"440",1,1504.7097,-0.698369565,0.451728248,493
"441",1,1399.7679,-0.649898029,0.500598802,323
"442",1,1111.2301,-0.580434034,0.327370304,155
"443",1,812.5231,-0.628,0.452806122,1056
"444",1,439.65185,-0.463584823,0.3214729,982
"445",1,524.1248,-0.565074135,0.378622328,661
"446",1,387.653,-0.6344,0.394945582,2177
"447",0,-162.2964,-0.604713143,0.546895893,1537
"448",0,-233.8255,-0.573404107,0.54641961,1413.5
"449",0,1745.22055,-0.655510933,0.568474444,2667.5
"450",0,2208.88975,-0.756085919,0.598118532,1783
"451",0,-190.9635,0.128686327,0.473096851,227.5
"452",1,589.20845,-0.405940594,0.326944758,276
"453",1,682.8054,-0.407069555,0.405357143,339
"454",1,1762.6806,-0.571290478,0.553494535,480.5
"455",1,1014.9458,-0.539622642,0.421541318,336
"456",1,1756.97155,-0.674037267,0.485393922,2207
"457",0,1447.96265,-0.634539213,0.492968905,1644
"458",0,1015.7895,-0.623876765,0.42340347,1779
"459",0,1046.74045,-0.573920043,0.406097356,1853.5
"460",0,1593.0788,-0.719095719,0.513570377,1590.5
"461",0,-399.08495,0.068021892,-0.114320096,204
"462",0,94.90825,-0.280961183,-0.06557377,113
"463",0,-131.05655,0.009183673,0.004856989,786
"464",0,-258.17555,0.107551487,0.065346535,230
"465",0,887.29485,-0.578636364,0.339210425,2164
"466",0,64.89755,-0.109177903,0.040549828,748
"467",0,1619.1225,-0.698052814,0.505404237,1533
"468",0,1951.8465,-0.703670345,0.755199617,2433
"469",0,441.11565,-0.303308824,0.197681906,1144
"470",0,-294.0016,0.094516971,-0.15902965,327
"471",0,-268.48005,0.153526971,-0.375661376,47
