1005,TCB_05_T1,TCB_05_T2,TCB_05_T3,TCG_05_T1,TCG_05_T2,TCG_05_T3,TCW_05_T1,TCW_05_T2,TCW_05_T3,blue_05_T1,blue_05_T2,blue_05_T3,green_05_T1,green_05_T2,green_05_T3,mndwi_05_T1,mndwi_05_T2,mndwi_05_T3,ndmi_05_T1,ndmi_05_T2,ndmi_05_T3,ndvi_05_T1,ndvi_05_T2,ndvi_05_T3,ndwi_05_T1,ndwi_05_T2,ndwi_05_T3,nir_05_T1,nir_05_T2,nir_05_T3,red_05_T1,red_05_T2,red_05_T3,swir1_05_T1,swir1_05_T2,swir1_05_T3,swir2_05_T1,swir2_05_T2,swir2_05_T3,.geo
0,4099.1302,2993.3733,2952.8391,2637.232,1818.5658,1628.686,-780.4864,-825.586,-858.9666,599,303.5,329,863,492,617,-0.665374176,-0.7183340489,-0.6411747601,0.3763819901,0.2853013596,0.2533866311,0.7459349593,0.7183340489,0.6718009479,-0.3855464578,-0.5446552522,-0.4630113142,4295,3001.5,2822,625,590.5,554,1946,1669,1681,864,736,772,
0,3893.0694,2881.4121,2834.7782,2219.4912,1678.6959,1553.7332,-750.0789,-886.39905,-916.5105,635,340.5,351,901,491,563,-0.6211898255,-0.7028744327,-0.652790626,0.358224727,0.2465116279,0.2179050216,0.6849464715,0.7028744327,0.6807776733,-0.3382298935,-0.5520072993,-0.5070052539,3856,2814,2680,721,539.5,509,1822,1701,1721,901,735.5,745,
0,1717.246,505.0102,454.704,384.4282,-105.7188,-137.2083,-142.852,126.9495,131.6241,605,367,335,711,182,418,-0.2774390244,-0.08542713568,0.4388984509,0.3358129649,0.6363636364,0.6804123711,0.4115665357,0.08542713568,-0.0523255814,0.06437125749,0.5826086957,0.8619153675,1257,216,163,524,431,181,625,48,31,398,49,40,
0,1805.0009,505.23605,434.8048,428.5076,-165.36165,-179.5497,-178.4422,167.1504,148.2594,583,392,385,711,223,418,-0.3060029283,0.1406649616,0.5714285714,0.3273809524,0.4451612903,0.3571428571,0.4091627172,-0.1406649616,-0.2475247525,0.02375809935,0.5513043478,0.7711864407,1338,168,114,561,455.5,189,678,64.5,54,436,-17.5,-19,
0,1501.5965,560.9531,470.3503,334.5365,-119.3102,-147.0403,-156.1744,148.4325,134.0403,514,416.5,408,619,203,417,-0.2764465225,-0.08248587571,0.4329896907,0.3117117117,0.6631944444,0.6836734694,0.414507772,0.08248587571,-0.04624277457,0.03859060403,0.6143141153,0.8616071429,1092,239.5,165,452,480.5,181,573,48.5,31,363,49,40,
0,1627.4676,540.10745,437.0913,347.5454,-138.77295,-136.9158,-175.1348,155.38705,195.6244,584,403,359,620,222.5,417,-0.3088071349,0.01598173516,0.4404145078,0.3051695386,0.7309236948,1.117647059,0.382803298,-0.01598173516,-0.07428571429,-0.004016064257,0.73828125,1.044117647,1174,215.5,162,524,455.5,188,625,33.5,-9,398,49,-16,
1,2034.7907,806.28175,760.0513,411.2746,230.81785,194.2195,-179.3302,40.79255,76.6109,689,231,250,785,262.5,339,-0.3006681514,-0.4205298013,-0.2693965517,0.3315093479,0.4534161491,0.4278787879,0.3549883991,0.4205298013,0.3697674419,0.03425559947,0.04063429138,0.1791304348,1460,643.5,589,695,354.5,271,733,242,236,506,94,28,
1,2336.349,1045.26965,950.8841,552.7062,395.78635,376.7056,-245.0924,-0.36235,-4.8697,735,250,265,913,300,351,-0.3088569266,-0.5014540922,-0.4060913706,0.3228768171,0.4369781312,0.4108658744,0.40511987,0.5014540922,0.5261707989,0.01557285873,-0.08256880734,0.005730659026,1729,903.5,831,732,401.5,258,885,354,347,578,140,99,
1,1740.8607,1262.7211,1299.3468,683.6995,289.25215,240.0248,-225.2934,-398.71945,-400.6509,494,288,295,543,381.5,447,-0.4679078883,-0.3942040492,-0.3149425287,0.3587301587,0.09578783151,0.07317073171,0.5483204134,0.3942040492,0.3458823529,-0.1312,-0.3101265823,-0.2474747475,1498,878,858,437,401.5,417,707,724.5,741,399,416,429,
0,3042.9633,1637.83885,1648.2011,826.5683,923.72955,905.3691,-245.9758,-143.7279,-190.4748,956,309.5,313,1117,333,428,-0.3548946001,-0.6620147171,-0.5830491963,0.3459552496,0.4245324054,0.409366869,0.4192377495,0.6620147171,0.6514227642,-0.01019051839,-0.3303167421,-0.2281334536,2346,1637.5,1625,960,444,343,1140,661.5,681,651,257.5,309,
0,3710.7573,2558.1694,2510.5579,1339.6915,1428.927,1356.8528,-466.0301,-804.88175,-823.2581,1040,333,336,1159,433.5,518,-0.4563789869,-0.6997922438,-0.640776699,0.35,0.2534150389,0.2355091384,0.5029041626,0.6997922438,0.69,-0.1266013564,-0.5426008969,-0.4772956609,3105,2454.5,2366,1027,517,434,1495,1462,1464,866,737.5,743,
0,2006.6889,461.1458,429.5247,231.1484,-96.79255,-133.9566,-90.3233,109.6378,108.8686,828,356,340,878,165,348,-0.1967063129,-0.07949790795,0.4004024145,0.313253012,0.4913294798,0.49,0.2785923754,0.07949790795,-0.1260997067,0.1241997439,0.4285714286,0.7443609023,1308,193.5,149,738,383.5,192,684,66,51,435,26.5,34,
0,2135.2983,659.5305,585.6279,140.561,-257.4428,-250.8757,-103.5167,223.9569,181.6146,910,406.5,359,1002,345.5,556,-0.1324675325,0.2820037106,0.5773049645,0.2969757065,0.5958762887,0.3925233645,0.239223117,-0.2820037106,-0.3450549451,0.171244886,0.7515842839,0.7906602254,1308,193.5,149,803,608.5,306,709,49,65,507,27,27,
0,2169.0296,681.1538,586.2439,197.9119,-253.31695,-259.2424,-20.5172,260.0286,192.3035,889,442.5,409,1002,385,503,-0.1601005868,0.2790697674,0.5429447853,0.3384912959,0.7325349301,0.4974874372,0.246285457,-0.2790697674,-0.3868312757,0.1886120996,0.8399044205,0.8191681736,1384,217,149,837,582,337,684,33.5,50,435,4.5,27,
0,2314.6705,810.67545,745.8043,202.6365,-311.71615,-307.0191,-16.9964,231.7639,178.4301,929,480.5,461,1084,466.5,608,-0.1481335953,0.3177966102,0.5086848635,0.3009795191,0.4953560372,0.2774193548,0.2365636902,-0.3177966102,-0.3612903226,0.1599785982,0.7025547445,0.6888888889,1461,241.5,198,902,659,422,785,81.5,112,399,72.5,74,
0,2325.6785,850.4285,814.1196,138.1422,-315.832,-292.8395,-38.0579,262.8795,270.0807,869,530,513,1125,487,660,-0.1169544741,0.2969374168,0.4301191766,0.3188137164,0.5282199711,0.6036585366,0.2064434082,-0.2969374168,-0.2754820937,0.2096774194,0.7132805629,0.8206896552,1423,264,263,936,685,463,735,81.5,65,507,49,34,
0,3948.9819,3018.6602,2967.3092,2494.5878,2071.59515,1918.1213,-612.3975,-744.58065,-772.0493,628,324,326,846,401,565,-0.6605136437,-0.7793065493,-0.6894751305,0.4183376178,0.3362264931,0.3094781683,0.722014149,0.7793065493,0.75456621,-0.3346441211,-0.6003986049,-0.483074108,4138,3233,3074,668,527.5,430,1697,1606,1621,843,668,682,
0,4005.5044,2824.48245,2746.301,2473.6111,1911.1219,1727.1091,-671.5984,-688.06725,-750.2162,651,287,301,846,401.5,512,-0.6605136437,-0.7637887925,-0.6900726392,0.3935005893,0.3209958141,0.2745948414,0.7095641396,0.7637887925,0.7336230984,-0.3607857952,-0.5866151866,-0.5126130414,4138,2998,2792,703,502,429,1801,1541,1589,843,576.5,589,
1,3285.41155,922.3161,729.4586,1358.0684,117.0016,-33.80165,-364.26695,106.0648,139.8612,787,387,377.5,1068,371,424,-0.4018482218,-0.2660731949,0.0253929867,0.3367156208,0.5822002472,0.4522522523,0.5042067308,0.2660731949,0.08406186954,-0.07532467532,0.3740740741,0.4722222222,2503,640,403,825,437,340.5,1242,169,152,687,158,39.5,
1,2903.157,681.8784,637.0798,1077.83655,-108.0391,-76.08425,-263.4902,88.2684,38.23075,760,338,347,984,330,369.5,-0.3494214876,0.02643856921,0.09077490775,0.3361702128,0.3880266075,0.350877193,0.4578571429,-0.02643856921,0.03791069924,-0.01501501502,0.4102564103,0.4280193237,2041,313,308,759,437,285.5,1014,138,148,616,113,138,
1,3172.9355,922.748,691.3309,1267.4253,69.0799,12.4787,-348.5667,75.9373,30.79445,745,338,328.5,1152,410,353.5,-0.3491525424,-0.1832669323,-0.06543291474,0.3244592346,0.4630541872,0.3169934641,0.4727104533,0.1832669323,0.1715116279,-0.02784810127,0.3057324841,0.2568888889,2388,594,403,855,437,285,1218,218,209,721,158,100.5,
1,3071.38965,1233.0282,958.72745,1350.45915,277.5106,149.5147,-407.89545,-19.939,-26.2629,698,365,361,944,450,370,-0.3987261146,-0.3435448578,-0.2846785887,0.3161522325,0.4061068702,0.3800623053,0.4867975626,0.3435448578,0.2791145332,-0.09448441247,0.07270560191,0.1069558714,2196,921,664.5,758,487,374.5,1141,389,298.5,616,248,215,
1,2935.5448,1080.9203,788.63335,1241.7182,154.0001,57.938,-356.44605,-11.6572,8.3232,656,341,366,905,450,354,-0.377793056,-0.2405063291,-0.1695014663,0.3171212619,0.3449222324,0.3914863922,0.4866468843,0.2405063291,0.2270769231,-0.06893004115,0.1138613861,0.2377622378,2004,735,498.5,692,438,314,1039,358,218,616,203,169,
1,1797.1823,939.6115,664.44405,592.16355,142.6079,137.3184,-330.0913,-40.963,53.80225,554,271,297.5,609,372,285.5,-0.4104549855,-0.2655478776,-0.2707535121,0.3465804067,0.3257497415,0.531947652,0.4724608388,0.2655478776,0.3620807666,-0.07446808511,0.0659025788,0.3051428571,1457,641,497.5,522,390,233,707,326,152,399,203,100.5,
1,2498.12325,1306.907,923.11095,953.0165,365.5369,190.30445,-465.90375,-128.6211,-64.19235,555,318,338,697,451,319.5,-0.3298076923,-0.3843003413,-0.3499491353,0.2758302583,0.3263570961,0.2921129503,0.4496855346,0.3843003413,0.3223716991,-0.05937921727,-0.06625258799,-0.06442166911,1383,1014,663.5,525,439,340,785,515,363.5,507,292,169,
1,2359.97475,1504.0093,1291.6142,1030.41835,493.9899,375.9469,-475.7676,-245.9936,-314.15835,510,319,326,735,450,397,-0.4849334268,-0.4548758328,-0.42022636,0.3310301508,0.2602308499,0.160155085,0.5854844744,0.4548758328,0.4428783383,-0.1833333333,-0.2207792208,-0.2788374205,2119,1201,972.5,554,488,375.5,1065,705,704,580,337,322.5,
1,1768.9764,1008.63425,1008.63425,341.5536,294.32845,294.32845,-118.091,131.79095,131.79095,638,314,314,690,334,469.5,-0.2923076923,-0.4238896076,-0.2749034749,0.3354531002,0.5768863419,0.5768863419,0.3425679275,0.4238896076,0.4238896076,0.04783599089,0.202520252,0.3589001447,1260,825.5,825.5,617,469.5,334,627,221.5,221.5,398,94,94,
1,1833.5433,904.31295,904.31295,344.0178,259.08005,259.08005,-146.408,213.2095,213.2095,662,326.5,326.5,736,314.5,445,-0.2766584767,-0.4115996258,-0.2580241767,0.3489096573,0.7445086705,0.7445086705,0.354535975,0.4115996258,0.4115996258,0.07997065297,0.48,0.602160216,1299,754.5,754.5,619,445,314.5,627,110.5,110.5,472,48.5,48.5,
1,1811.6485,893.43205,893.43205,353.5535,272.70565,272.70565,-107.1438,195.4835,195.4835,639,301.5,301.5,736,295,445,-0.2766584767,-0.4378275369,-0.2580241767,0.3673684211,0.7128263337,0.7128263337,0.3552425665,0.4378275369,0.4378275369,0.1009723261,0.3997627521,0.5573053368,1299,754.5,754.5,618,445,295,601,126.5,126.5,435,48.5,48.5,
0,1728.6681,606.96295,606.96295,314.8526,-64.4269,-64.4269,-89.2374,108.45995,108.45995,603,326,326,741,274.5,394,-0.2442631311,-0.05099394987,0.1289398281,0.3585746102,0.4155995343,0.4155995343,0.3488114981,0.05099394987,0.05099394987,0.125284738,0.3725,0.5168431184,1220,304,304,589,394,274.5,576,125.5,125.5,398,48.5,48.5,
1,2446.92735,1210.7776,900.65125,666.8679,333.2045,226.72645,-134.9713,110.8232,125.1895,767,403,325,954,444,393.5,-0.3304088437,-0.3711048159,-0.2848705134,0.3693335741,0.4961360124,0.5220667384,0.4265286924,0.3711048159,0.3589620375,0.04433497537,0.1532467532,0.2786352559,1895.5,968,707,762,480,333.5,873,326,222,485,113,48.5,
